,name,type,study_title,group_id,study_type,description,has_placebo,has_drug,nums,trailings,trailings_stemmed,doses_obj,no_measure,units
0,Gabapentin,primary,"A Phase II, Randomized, Placebo-controlled, Double Blind, Cross-over, Study of the Effects of Gabapentin on Chronic Irritability in Neurologically Impaired Children",OG000,Crossover Assignment,"neurotin

gabapentin: the active drug is in a flavored glycerin based solution. the drug will be given orally or through a gastrointestinal tube. titration up to a stable dose will take 22 days. the total stable dose is 40mg/kg/day. once 7 days on this dose are finished, children will take 6 days to reduce their dose and begin their 3 day washout period.",False,True,"[22, 40, 7, 6, 3]","[['day', 'the', 'total'], ['mg/kg/day', 'onc', '7'], ['day', 'on', 'thi'], ['day', 'to', 'reduc'], ['day', 'washout', 'period']]","[['day', 'the', 'total'], ['mg/kg/day', 'onc', '7'], ['day', 'on', 'thi'], ['day', 'to', 'reduc'], ['day', 'washout', 'period']]","{40: ['mg/kg/day', 'onc', '7']}",Unknown,{40: 'mg/kg'}
1,Placebo,primary,"A Phase II, Randomized, Placebo-controlled, Double Blind, Cross-over, Study of the Effects of Gabapentin on Chronic Irritability in Neurologically Impaired Children",OG001,Crossover Assignment,"glycerin based clear solution that is flavored similar to the commercial product

placebo",True,False,[],[],[],{},Unknown,{}
2,Gabapentin,primary,"Administration of Pre-Operative Gabapentin to Patients Undergoing Laparoscopy: A Prospective Double-blinded, Placebo Controlled Randomized Study",OG000,Parallel Assignment,patients will receive gabapentin 300mg tab less than 1 hour before surgery.,False,True,"[300, 1]","[['mg', 'tab', 'less'], ['hour', 'befor', 'surgeri']]","[['mg', 'tab', 'less'], ['hour', 'befor', 'surgeri']]","{300: ['mg', 'tab', 'less']}",Unknown,{300: 'mg'}
3,Placebo,primary,"Administration of Pre-Operative Gabapentin to Patients Undergoing Laparoscopy: A Prospective Double-blinded, Placebo Controlled Randomized Study",OG001,Parallel Assignment,patients will receive methylcellulose based placebo tab less than 1 hour before surgery.,True,False,[1],"[['hour', 'befor', 'surgeri']]","[['hour', 'befor', 'surgeri']]",{},Unknown,{}
4,Gabapentin,primary,Pain Control in Pediatric Posterior Spine Fusion Patients: The Effect of Gabapentin on Post-operative Opioid Use and Patient Satisfaction,OG000,Parallel Assignment,"gabapentin 15 milligrams per kilogram will be given orally one time pre-operatively. gabapentin will be continued at a dose of 10 milligrams per kilogram every eight hours orally starting as soon as the patient is admitted to his or her floor bed in the hospital.

gabapentin",False,True,"[15, 10]","[['milligram', 'per', 'kilogram'], ['milligram', 'per', 'kilogram']]","[['milligram', 'per', 'kilogram'], ['milligram', 'per', 'kilogram']]","{15: ['milligram', 'per', 'kilogram'], 10: ['milligram', 'per', 'kilogram']}",Unknown,"{15: 'mg/kg', 10: 'mg/kg'}"
5,Simple Syrup,primary,Pain Control in Pediatric Posterior Spine Fusion Patients: The Effect of Gabapentin on Post-operative Opioid Use and Patient Satisfaction,OG001,Parallel Assignment,"simple syrup compounded by the oregon health and science university research pharmacy will be administered in the same volume as if the patient were receiving the gabapentin both pre-operatively and every eight hours after the patient is admitted to his or her floor bed in the hospital.

simple syrup",False,False,[],[],[],{},Unknown,{}
6,Gralise (Gabapentin ER),primary,"Open Labeled, Non-randomized, Study of Efficacy and Safety of Gralise in Fibromyalgia Patients.",OG000,Single Group Assignment,"an open label trial with gralise. all subjects on gabapentinoids will require wash before starting trial.

all subjects will follow the instructions on the gralise starter pack with eventual goal of 1800 mg/day.

subjects will be have follow up visits every 4 weeks, and at the end of 12 weeks, subjects will begin to wash off of gralise. visit 5 will be end of the study/ treatment visit.

subject will rate pain ratings as primary outcome measure, and fibromyalgia impact questionnaires, medical study's outcome sleep scores, and patients global impression of change (pgic) as secondary outcome measures. subjects are assessed at each follow up visits for adverse events, and concomitant medication changes if any.",False,True,"[1800, 4, 12, 5]","[['mg/day', 'subject', 'will'], ['weeks,', 'and', 'at'], ['weeks,', 'subject', 'will'], ['will', 'be', 'end']]","[['mg/day', 'subject', 'will'], ['weeks,', 'and', 'at'], ['weeks,', 'subject', 'will'], ['will', 'be', 'end']]","{1800: ['mg/day', 'subject', 'will']}",Unknown,{1800: 'mg'}
7,Placebo,primary,Gabapentin for Smoking Abstinence,OG000,Parallel Assignment,placebo pill was identical in appearance to the active medication. initial dosage consisted of 1 pill by mouth in the morning and night. the dose was increased over the first 2 weeks to the target frequency of three times a day. this dose was continued for the next 9 weeks and tapered in the last week. the medication was stopped at the end of 12 weeks.,True,False,"[1, 2, 9, 12]","[['pill', 'by', 'mouth'], ['week', 'to', 'the'], ['week', 'and', 'taper'], ['week']]","[['pill', 'by', 'mouth'], ['week', 'to', 'the'], ['week', 'and', 'taper'], ['week']]",{},Unknown,{}
8,Gabapentin - 1800 mg /Day,primary,Gabapentin for Smoking Abstinence,OG001,Parallel Assignment,gabapentin was initiated at a dose of 300 mg by mouth in the morning and night. the dose was increased over the first 2 weeks to the target doses of 600 mg three times a day. this dose was continued for the next 9 weeks and tapered in the last week. the medication was stopped at the end of 12 weeks.,False,True,"[300, 2, 600, 9, 12]","[['mg', 'by', 'mouth'], ['week', 'to', 'the'], ['mg', 'three', 'time'], ['week', 'and', 'taper'], ['week']]","[['mg', 'by', 'mouth'], ['week', 'to', 'the'], ['mg', 'three', 'time'], ['week', 'and', 'taper'], ['week']]","{300: ['mg', 'by', 'mouth'], 600: ['mg', 'three', 'time']}",Unknown,"{300: 'mg', 600: 'mg'}"
9,Gabapentin - 2700 mg/Day,primary,Gabapentin for Smoking Abstinence,OG002,Parallel Assignment,gabapentin was initiated at a dose of 300 mg by mouth in the morning and night. the dose was increased over the first 2 weeks to the target doses of 900 mg three times a day. this dose was continued for the next 9 weeks and tapered in the last week. the medication was stopped at the end of 12 weeks.,False,True,"[300, 2, 900, 9, 12]","[['mg', 'by', 'mouth'], ['week', 'to', 'the'], ['mg', 'three', 'time'], ['00', 'mg', 'three'], ['week']]","[['mg', 'by', 'mouth'], ['week', 'to', 'the'], ['mg', 'three', 'time'], ['00', 'mg', 'three'], ['week']]","{300: ['mg', 'by', 'mouth'], 900: ['mg', 'three', 'time'], 9: ['00', 'mg', 'three']}",Unknown,"{300: 'mg', 900: 'mg', 9: 'mg'}"
10,Active Medication,primary,A Randomized Controlled Pilot Trial of Gabapentin for the Treatment of Benzodiazepine Abuse in Methadone Maintenance Patients,OG000,Parallel Assignment,"gabapentin treatment 1200 mg three times daily

gabapentin: for the first week, one 400 mg gabapentin capsule taken 3 times per day. for the second week, two 400 mg gabapentin capsules taken 3 times per day. for the third week through the eighth week, three 400 mg gabapentin capsules taken 3 times per day. for the ninth and last week, two 400 mg gabapentin capsules taken 3 times per day for 3 days, then one 400 mg gabapentin capsule taken 3 times per day for 4 days. placebo study medication appears identical to active medication and is prescribed with an identical dosing schedule.",False,False,"[1200, 400, 3, 400, 3, 400, 3, 400, 3, 3, 400, 3, 4]","[['mg', 'three', 'time'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['00', 'mg', 'gabapentin']]","[['mg', 'three', 'time'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['00', 'mg', 'gabapentin']]","{1200: ['mg', 'three', 'time'], 400: ['mg', 'gabapentin', 'capsul'], 3: ['time', 'per', 'day'], 4: ['00', 'mg', 'gabapentin']}",Unknown,"{1200: 'mg', 400: 'mg', 3: '/', 4: 'mg'}"
11,Placebo,primary,A Randomized Controlled Pilot Trial of Gabapentin for the Treatment of Benzodiazepine Abuse in Methadone Maintenance Patients,OG001,Parallel Assignment,"placebo condition received pills identical in appearance to experimental arm.

gabapentin: for the first week, one 400 mg gabapentin capsule taken 3 times per day. for the second week, two 400 mg gabapentin capsules taken 3 times per day. for the third week through the eighth week, three 400 mg gabapentin capsules taken 3 times per day. for the ninth and last week, two 400 mg gabapentin capsules taken 3 times per day for 3 days, then one 400 mg gabapentin capsule taken 3 times per day for 4 days. placebo study medication appears identical to active medication and is prescribed with an identical dosing schedule.",True,False,"[400, 3, 400, 3, 400, 3, 400, 3, 3, 400, 3, 4]","[['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['00', 'mg', 'gabapentin']]","[['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['time', 'per', 'day'], ['mg', 'gabapentin', 'capsul'], ['time', 'per', 'day'], ['00', 'mg', 'gabapentin']]","{400: ['mg', 'gabapentin', 'capsul'], 3: ['time', 'per', 'day'], 4: ['00', 'mg', 'gabapentin']}",Unknown,"{400: 'mg', 3: '/', 4: 'mg'}"
12,Open-label Gabapentin,primary,Pilot Study to Assess Tolerability and Preliminary Efficacy of a Titrated Dose of Gabapentin up to 600mg Administered at Bedtime for Insomnia Symptoms and Nighttime Vasomotor Symptoms (VMS) in Peri- and Postmenopausal Women With VMS.,OG000,Single Group Assignment,"dose titration of 100mg for 1 week, 300mg for 3 weeks, and 600mg for 3 weeks.

gabapentin: the study is a 7-week intervention study using open-label gabapentin at bedtime with a scheduled dose titration from 100-mg for one week, followed by 300-mg for 3 weeks, and then 600-mg for 3 weeks.",False,True,"[100, 1, 300, 3, 600, 3, 7, 100, 300, 3, 600, 3]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","{100: ['mg', 'for', '1'], 300: ['mg', 'for', '3'], 600: ['mg', 'for', '3']}",Unknown,"{100: 'mg', 300: 'mg', 600: 'mg'}"
13,Open-label Gabapentin,primary,Pilot Study to Assess Tolerability and Preliminary Efficacy of a Titrated Dose of Gabapentin up to 600mg Administered at Bedtime for Insomnia Symptoms and Nighttime Vasomotor Symptoms (VMS) in Peri- and Postmenopausal Women With VMS.,OG000,Single Group Assignment,"dose titration of 100mg for 1 week, 300mg for 3 weeks, and 600mg for 3 weeks.

gabapentin: the study is a 7-week intervention study using open-label gabapentin at bedtime with a scheduled dose titration from 100-mg for one week, followed by 300-mg for 3 weeks, and then 600-mg for 3 weeks.",False,True,"[100, 1, 300, 3, 600, 3, 7, 100, 300, 3, 600, 3]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","{100: ['mg', 'for', '1'], 300: ['mg', 'for', '3'], 600: ['mg', 'for', '3']}",Unknown,"{100: 'mg', 300: 'mg', 600: 'mg'}"
14,Open-label Gabapentin,primary,Pilot Study to Assess Tolerability and Preliminary Efficacy of a Titrated Dose of Gabapentin up to 600mg Administered at Bedtime for Insomnia Symptoms and Nighttime Vasomotor Symptoms (VMS) in Peri- and Postmenopausal Women With VMS.,OG000,Single Group Assignment,"dose titration of 100mg for 1 week, 300mg for 3 weeks, and 600mg for 3 weeks.

gabapentin: the study is a 7-week intervention study using open-label gabapentin at bedtime with a scheduled dose titration from 100-mg for one week, followed by 300-mg for 3 weeks, and then 600-mg for 3 weeks.",False,True,"[100, 1, 300, 3, 600, 3, 7, 100, 300, 3, 600, 3]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","[['mg', 'for', '1'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for'], ['-week', 'intervent', 'studi'], ['mg', 'for', '1'], ['mg', 'for', '3'], ['00mg', 'for'], ['mg', 'for', '3'], ['00mg', 'for']]","{100: ['mg', 'for', '1'], 300: ['mg', 'for', '3'], 600: ['mg', 'for', '3']}",Unknown,"{100: 'mg', 300: 'mg', 600: 'mg'}"
